"crash_date_time","collision_type","weather","surface_condition","light","driver_at_fault","injury_severity","vehicle_first_impact_location","vehicle_body_type","vehicle_movement","vehicle_going_dir","speed_limit","vehicle_year","vehicle_make","vehicle_model","latitude","longitude","location"
"10/02/2024 07:15:00 PM","Single Vehicle","Clear","Wet","Dark - Lighted","No","No Apparent Injury","Underside","Passenger Car","Changing Lanes","Northbound","35","2019","SUBARU","FORESTER","39.02002633","-77.0770985","(39.02002633, -77.0770985)"
"10/02/2024 02:51:00 PM","Sideswipe, Same Direction","Clear","Wet","Daylight","No","No Apparent Injury","Four O Clock","Passenger Car","Moving Constant Speed","Southbound","35","2015","AUDI","Q5","39.02738993","-76.98235396","(39.02738993, -76.98235396)"
"10/02/2024 11:08:00 AM","Sideswipe, Same Direction","Cloudy","Wet","Daylight","No","Suspected Minor Injury","Eight O Clock","Passenger Car","Moving Constant Speed","Not On Roadway","25","2013","HONDA","ACCORD","39.05794769","-77.11828533","(39.05794769, -77.11828533)"
"10/01/2024 06:48:00 PM","Angle","Rain","Wet","Dark - Lighted","No","No Apparent Injury","Eleven O Clock","Passenger Car","Moving Constant Speed","Southbound","35","2016","FORD","MUSTANG","39.14900294","-77.19311181","(39.14900294, -77.19311181)"
"10/01/2024 03:24:00 PM","Sideswipe, Same Direction","Cloudy","Wet","Daylight","Yes","No Apparent Injury","Seven O Clock","Bus - Transit","Entering Traffic Lane","Eastbound","25","2011","GILLIG","LOW FLOOR BUS","39.07930968","-77.15518158","(39.07930968, -77.15518158)"
"09/30/2024 09:20:00 PM","Angle","Rain","Wet","Dark - Lighted","No","No Apparent Injury","One O Clock","Passenger Car","Moving Constant Speed","Westbound","35","1990","HONDA","CIVIC","39.05043617","-77.07269136","(39.05043617, -77.07269136)"
"09/30/2024 07:05:00 PM","Rear To Side","Rain","Wet","Dark - Lighted","Yes","No Apparent Injury","Twelve O Clock","Pickup","Turning Left","Northbound","30","2008","TOYOTA","TACOMA","39.28080129","-77.31494957","(39.28080129, -77.31494957)"
"09/30/2024 06:26:00 PM","Single Vehicle","Rain","Wet","Daylight","No","Possible Injury","Twelve O Clock","Passenger Car","Accelerating","Not On Roadway","20","2008","NISSAN","ALTIMA","39.15121783","-77.1976805","(39.15121783, -77.1976805)"
"09/30/2024 05:00:00 PM","Front to Rear","Rain","Wet","Daylight","No","No Apparent Injury","Twelve O Clock","Passenger Car","Moving Constant Speed","Eastbound","35","2005","ACURA","TL","39.08069501","-77.14202749","(39.08069501, -77.14202749)"
"09/30/2024 09:20:00 AM","Front to Front","Rain","Wet","Daylight","No","No Apparent Injury","Twelve O Clock","Passenger Car","Moving Constant Speed","Northbound","40","2011","JEEP","PATRIOT","39.10245437","-77.18864449","(39.10245437, -77.18864449)"
"09/30/2024 08:30:00 AM","Front to Rear","Rain","Wet","Daylight","No","No Apparent Injury","Six O Clock","Passenger Car","Stopped in Traffic","Northbound","25","2024","NISSAN","ALTIMA","38.98820725","-77.03149679","(38.98820725, -77.03149679)"
"09/29/2024 03:00:00 PM","Front to Rear","Cloudy","Dry","Daylight","No","No Apparent Injury","Six O Clock","Sport Utility Vehicle","Stopped in Traffic","Southbound","35","2015","ACURA","MDX","39.07947892","-77.13597811","(39.07947892, -77.13597811)"
"09/29/2024 03:21:00 AM","Single Vehicle","Rain","Wet","Dark - Lighted","Yes","No Apparent Injury","Ten O Clock","Passenger Car","Moving Constant Speed","Eastbound","30","2004","HONDA","ACCORD","39.203805","-77.14044667","(39.203805, -77.14044667)"
"09/28/2024 09:43:00 PM","Rear To Side","Clear","Dry","Dark - Lighted","Yes","No Apparent Injury","One O Clock","Pickup","Turning Left","Southbound","40","2008","TOYOTA","TACOMA","39.05618597","-77.11905151","(39.05618597, -77.11905151)"
"09/28/2024 08:31:00 PM","Front to Rear","Clear","Dry","Dark - Lighted","No","Suspected Minor Injury","Six O Clock","Passenger Car","Stopped in Traffic","Southbound","50","2018","TOYOTA","C-HR","39.07530533","-76.9547125","(39.07530533, -76.9547125)"
"09/28/2024 03:30:00 PM","Sideswipe, Same Direction","Clear","Dry","Daylight","No","No Apparent Injury","Five O Clock","Passenger Car","Moving Constant Speed","Northbound","30","2014","HONDA","ODYSSEY","39.142843","-77.20009333","(39.142843, -77.20009333)"
"09/28/2024 11:39:00 AM","Front to Rear","Clear","Dry","Daylight","Yes","Suspected Minor Injury","Nine O Clock","Passenger Car","Entering Traffic Lane","Eastbound","40","2015","BUICK","VERANO","39.06424962","-76.99946625","(39.06424962, -76.99946625)"
